Unnamed: 0,Brand,Model,Year,VIN
0,toyota,cruiser,2008,jtezu11f88k007763
1,ford,se,2011,2fmdk3gc4bbb02217
2,dodge,mpv,2018,3c4pdcgg5jt346413
3,ford,door,2014,1ftfw1et4efc23745
4,chevrolet,1500,2018,3gcpcrec2jg473991
5,dodge,mpv,2018,2c4rdgeg9jr237989
6,chevrolet,pk,2010,1gcsksea1az121133
7,gmc,door,2017,1gks2gkc3hr326762
8,chevrolet,malibu,2018,1g1zd5st5jf191860
9,ford,mpv,2017,2fmpk3j92hbc12542
10,dodge,coupe,2009,2b3lj54t49h509675
11,gmc,mpv,2017,1gks2bkc6hr136280
12,chevrolet,1500,2018,3gcukrec0jg176059
13,chrysler,wagon,2017,2c4rc1cg5hr616095
14,ford,door,2013,1ftfw1et7dfa47790
15,gmc,door,2017,1gks2gkc6hr328389
16,kia,forte,2018,3kpfk4a77je198723
17,buick,encore,2018,kl4cj1sb6jb688844
18,ford,mpv,2017,2fmpk3j95hbb73607
19,ford,door,2013,1ft8w3dt5deb68569
20,gmc,door,2017,1gks2gkcxhr328380
21,kia,forte,2018,3kpfl4a79je272611
22,chevrolet,door,2015,2gnflhe33f6214023
23,ford,mpv,2017,2fmpk3j84hbc09276
24,ford,door,2013,1ftfw1efxdfa01008
25,gmc,door,2017,1gks2gkc2hr327918
26,kia,sorento,2020,5xypg4a59lg616029
27,buick,door,2014,1g4ps5sk1e4188639
28,ford,doors,2017,1fadp5auxhl109013
29,ford,chassis,2008,1fdwf37r28eb95687
30,gmc,door,2017,1gks2gkc6hr326335
31,infiniti,q70,2016,jn1by1ar7gm271292
32,chevrolet,camaro,1973,1q87t3n166389
33,ford,mpv,2017,2fmpk3j9xhbb56401
34,ford,convertible,2003,1fahp60a63y107799
35,gmc,door,2017,1gks2gkc2hr328793
36,mercedes-benz,vans,2016,8btpe7dd4ge127040
37,chevrolet,1500,2018,1gcncneh5jz302471
38,ford,mpv,2017,2fmpk4k96hbb16692
39,ford,pk,2003,1ftnx20p73ed69682
40,gmc,door,2017,1gks2gkc6hr325461
41,mercedes-benz,vans,2016,wd4pe7dd1gp253504
42,chevrolet,1500,2018,3gcukrec4jg204915
43,ford,mpv,2017,2fmpk3j85hbb79415
44,ford,srw,2017,1ft7w3bt5hee88155
45,gmc,door,2017,1gks2gkcxhr324555
46,jeep,compass,2019,3c4njccb3kt676336
47,chevrolet,malibu,2017,1g1zh5sx9hf118136
48,dodge,mpv,2017,3c4pddeg7ht595704
49,ford,srw,2017,1ft7w3bt0hef02785
50,gmc,mpv,2017,1gks2bkc7hr133811
51,jeep,compass,2019,3c4njccb0kt676343
52,buick,enclave,2017,5gakrckdxhj113512
53,ford,mpv,2017,2fmpk4j87hbb21750
54,chrysler,300,2019,2c3ccabgxkh559658
55,gmc,mpv,2017,1gks2bkc6hr134450
56,jeep,cherokee,2019,1c4pjmbx6kd298806
57,buick,door,2017,1g4zp5ss8hu149142
58,chrysler,pacifica,2020,2c4rc1fg5lr143335
59,chrysler,300,2019,2c3ccaeg5kh585628
60,gmc,door,2017,1gks2gkc0hr323625
61,jeep,cherokee,2019,1c4pjmbx2kd360704
